% defaults limit 1000 minin 35 minex 25 flank 99 pop 100 gen 100 die 0.5 mut 0.1
% gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
1_426,0.8264,0.8283,0.3726,0.9993,0.9511,0.0007,0.0002,0.9993
2_202,0.4678,0.4792,0.9983,0.9990,0.6297,0.0038,0.4474,0.9972
2_245,0.3115,0.3973,0.5673,0.8829,0.9991,0.1713,0.0037,1.0000
1_104,0.3295,0.3219,0.2336,0.9970,0.9984,0.0117,0.0107,0.9983
2_335,0.3210,0.9903,0.1093,0.9998,1.0000,0.0002,0.0001,0.9975
2_268,1.1194,0.2372,0.2465,0.0082,0.5974,0.9936,0.0012,0.9848
3_10,0.1044,0.9992,0.9976,0.9981,0.5102,0.9955,0.0317,0.9950
1_328,1.0531,0.5484,0.4493,0.9933,0.9999,0.1462,0.0012,0.9984
1_126,0.0272,0.9923,0.9474,0.9834,0.9952,0.0101,0.0003,0.9948
1_4,0.0051,0.9995,0.9948,0.9963,0.7297,0.0071,0.0027,0.9973
2_110,0.7199,0.9933,0.9967,0.8607,0.6055,0.0487,0.4066,0.9991
1_388,1.3473,0.0007,0.9983,0.7835,0.7317,0.0101,0.0008,0.9964
1_214,0.2917,0.2940,0.9973,0.4608,0.9997,0.0043,0.0149,0.9868
1_252,0.8495,0.3039,0.9777,0.9976,0.3665,0.0061,0.0311,0.9945
1_174,1.1452,0.9465,0.4823,0.5120,0.9988,0.9856,0.2833,0.9889
1_568,0.4150,0.2661,0.6708,0.9938,0.6260,0.0009,0.0017,0.9915
2_261,0.4433,0.2301,0.4960,0.9903,0.5992,0.0059,0.0002,0.9858
1_495,0.9137,0.1668,0.6484,0.9892,0.3899,0.0043,0.0071,0.9894
1_403,0.6799,0.7497,0.9973,0.9994,0.0032,0.0010,0.1092,0.9883
1_456,0.0498,0.9951,0.9778,0.9992,0.9998,0.0024,0.0007,0.9995
1_424,0.6349,0.3547,0.7414,0.9999,0.9380,0.0045,0.0002,0.9908
1_392,0.3080,0.7185,0.6551,0.1465,0.9971,0.9997,0.0027,0.9877
1_340,0.0620,0.9970,0.9994,0.9996,0.3399,0.2915,0.0015,0.9991
1_197,0.6241,0.6036,0.4891,0.9863,0.3030,0.0020,0.4782,0.9997
1_349,0.0371,0.9939,0.9979,0.9985,0.5041,0.0041,0.2218,0.9979
1_594,1.9986,0.9847,0.2327,0.3494,0.5031,0.9385,0.5510,0.7867
1_352,0.3886,0.4946,0.9993,0.9982,0.9966,0.0045,0.3253,0.9931
1_14,0.1839,0.5948,0.9990,0.9941,0.4442,0.7245,0.0076,0.9999
2_186,0.7571,0.9807,0.9960,0.1960,0.9988,0.9971,0.3159,0.9960
2_284,0.7847,0.9857,0.2340,0.9983,0.3959,0.0133,0.9871,0.9951
1_338,0.2892,0.2856,0.9730,0.9904,0.0063,0.9906,0.0066,0.9978
2_328,0.4330,0.6090,0.9899,0.9983,0.9985,0.0023,0.0743,0.9963
2_118,0.4560,0.9731,0.9959,0.9972,0.4437,0.9906,0.6252,0.9965
2_267,0.1545,0.0095,0.0089,0.9878,0.3336,0.0022,0.0038,0.9997
2_16,0.1825,1.0000,0.9986,0.5825,0.9830,0.0003,0.0090,0.9987
2_102,0.1109,0.5157,0.6969,0.9938,0.7397,0.0013,0.0751,0.9881
1_266,0.6209,0.8355,0.1124,0.6045,0.3749,0.0040,0.0011,0.9935
2_322,0.3018,0.4573,0.5074,0.9995,0.5663,0.0410,0.2718,0.9990
1_361,0.4650,0.5311,0.9925,0.0084,0.8880,0.0618,0.0032,0.9998
1_517,1.1033,0.9782,0.9941,0.9938,0.6567,0.0024,0.0054,0.9936
1_172,0.0485,0.9969,0.9522,0.9982,0.9999,0.0023,0.0173,0.9961
2_213,0.5983,0.9985,0.9994,0.5611,0.2537,0.0158,0.2717,0.9995
1_246,0.2808,0.7027,0.9937,0.9983,0.0075,0.0011,0.0044,0.9966
1_274,0.0085,0.9453,0.9966,0.9944,0.3263,0.0002,0.0818,0.9991
1_265,0.0451,0.8610,0.9990,0.8671,0.9966,0.9912,0.1886,0.9874
2_215,0.9327,0.5583,0.4084,0.9989,0.6688,0.0048,0.0095,0.9946
1_39,0.0060,0.6483,0.9585,0.9965,0.4283,0.0133,0.9180,0.9974
1_21,0.0166,0.6914,0.0758,0.9655,0.9821,0.2561,0.4577,0.9541
2_76,0.3679,0.9928,0.9939,0.7832,0.3145,0.9932,0.9968,0.9961
2_266,1.3555,0.9880,0.9964,0.0078,0.0100,0.0029,0.0006,0.9924
1_583,0.8691,0.1846,0.9980,0.9992,0.5919,0.0074,0.0009,0.9961
1_332,1.3716,0.5394,0.8640,0.5665,0.3863,0.5213,0.0001,0.9967
2_207,1.7177,0.5445,0.8004,0.2216,0.2173,0.8934,0.0370,0.9268
2_252,1.0077,0.2041,0.0025,0.9968,0.0057,0.0000,0.3729,0.9981
1_161,0.0065,0.9949,0.9999,0.9970,0.9982,0.0006,0.9993,0.9683
1_286,0.4814,0.6735,0.0181,0.9990,0.9834,0.0020,0.0007,0.9985
1_454,1.0824,0.8026,0.9996,0.9967,0.4131,0.9944,0.0007,0.9999
3_0,0.6962,0.4711,0.7895,0.9993,0.0026,0.9837,0.0022,0.9907
2_86,0.1627,0.6803,0.9966,0.9052,0.9978,0.0009,0.0038,0.9976
2_68,0.1395,0.9964,0.9946,0.0090,0.9853,0.0036,0.9980,0.9840
2_223,0.8517,0.8269,0.2215,0.2471,0.2234,0.0150,0.0003,0.9989
1_389,0.1131,0.6597,0.9955,0.9990,0.3454,0.0099,0.0004,0.9896
1_562,1.8677,0.0273,0.8998,0.0671,0.9564,0.8928,0.4761,0.8244
1_535,0.1235,0.0457,0.7555,0.9098,0.5154,0.0035,0.0013,0.9918
2_226,0.1951,0.5459,0.9965,0.9995,0.4396,0.0018,0.3346,0.9910
1_194,0.5019,0.3051,0.3305,0.9885,0.8179,0.0035,0.0032,0.9998
1_371,0.6663,0.0031,0.9918,0.5749,0.1619,0.0070,0.0095,0.9997
1_106,0.0643,0.4234,0.9970,0.0097,0.9860,0.0118,0.0076,0.9995
1_354,0.2135,0.9845,0.9989,0.9976,0.5710,0.0007,0.0101,0.9937
1_224,0.2825,0.5897,0.0074,0.9960,0.9902,0.0004,0.0083,0.9975
1_346,1.3055,0.9864,0.9006,0.1546,0.3052,0.0016,0.0025,0.9958
1_189,0.8215,0.9036,0.9693,0.9951,0.8601,0.0110,0.7463,0.9952
2_167,0.2254,0.6133,0.9993,0.8713,0.9838,0.0045,0.1513,0.9886
2_251,0.9509,0.8118,0.9997,0.0054,0.9949,0.9985,0.9961,0.9919
3_43,0.5852,0.7236,0.9931,0.9983,0.7651,0.0008,0.5720,0.9979
2_1,0.1658,0.7312,0.0237,0.9953,0.0044,0.9963,0.9945,0.6026
3_33,0.4897,0.9845,0.7056,0.9983,0.1913,0.9975,0.7911,0.9995
1_114,1.3562,0.9981,0.0073,0.9995,0.0003,0.9902,0.5687,0.9983
1_602,0.6326,0.5682,0.6283,0.6820,0.7620,0.0039,0.0019,0.9908
1_400,0.0718,0.9980,0.9976,0.9950,0.5877,0.0005,0.0034,0.9906
2_163,0.2181,0.9845,0.9803,0.9964,0.9891,0.0027,0.0167,0.9982
2_190,0.8776,0.2291,0.9558,0.7667,0.2715,0.9997,0.9947,0.9957
1_450,1.5743,0.0016,0.2410,0.0076,0.6287,0.9955,0.0065,0.9995
1_244,1.5292,0.8940,0.0951,0.9877,0.9206,0.0061,0.8067,0.9950
1_538,1.3440,0.0002,0.0000,0.9986,0.9573,0.9952,0.3247,0.9941
2_230,0.5124,0.5081,0.5372,0.8954,0.5197,0.0067,0.0097,0.9994
1_149,0.0189,0.9929,0.9987,0.9942,0.9330,0.1034,0.3388,0.9951
1_240,0.0969,0.7620,0.9976,0.9977,0.9938,0.0137,0.3294,0.9981
2_249,0.9868,0.6756,0.9968,0.9923,0.9439,0.0002,0.9788,0.9970
1_586,0.2262,0.0047,0.1151,0.9979,0.9949,0.0015,0.2923,0.9944
1_50,0.0453,0.8844,0.9995,0.8124,0.9945,0.9904,0.0715,0.9909
1_461,0.1344,0.7602,0.4575,0.7697,0.9931,0.0023,0.0016,0.9992
1_437,0.5393,0.7782,0.7891,0.9993,0.5452,0.0013,0.0040,0.9946
1_307,1.3388,0.9966,0.9948,0.7669,0.7060,0.0033,0.0013,0.9993
2_236,0.7561,0.0002,0.0037,0.0010,0.9962,0.0274,0.4008,0.9994
4_3,0.2240,0.5153,0.9872,0.9887,0.9952,0.9965,0.3443,0.9957
1_207,0.0614,0.9956,0.9956,0.5946,0.9885,0.9982,0.0069,0.9955
2_35,0.5586,0.5871,0.9922,0.9813,0.3936,0.1054,0.0053,0.9717
1_545,0.2075,0.6136,0.0113,0.9941,0.9999,0.0001,0.0012,0.9990
1_91,0.3152,0.6082,0.0041,0.5192,0.9972,0.0173,0.9938,0.9900
1_105,0.8494,0.9753,0.3863,0.9899,0.5440,0.0077,0.3850,0.9955
1_469,0.5652,0.5974,0.7248,0.9962,0.7372,0.0013,0.1289,0.9974
1_254,1.3710,0.7091,0.9978,0.9953,0.9907,0.9990,0.0004,0.9943
1_559,1.7703,0.2302,0.6164,0.1240,0.1364,0.0036,0.0059,0.9996
2_222,1.0354,0.0082,0.1868,0.9976,0.0682,0.1987,0.0003,0.9989
1_441,0.1045,0.6108,0.9810,0.9990,0.0066,0.0083,0.0012,0.9872
1_0,0.0001,0.9979,0.0137,0.9692,0.9997,0.0035,0.0896,0.9985
1_56,0.1142,0.7964,0.0338,0.9985,0.6183,0.0418,0.9985,0.9996
2_37,0.1914,0.7895,0.9975,0.9870,0.9995,0.6133,0.9989,0.9950
1_314,0.0711,0.9962,0.9958,0.9938,0.9901,0.0087,0.0625,0.9995
1_592,0.0638,0.0031,0.0021,0.9997,0.9999,0.0084,0.0023,0.9982
2_258,0.0711,0.7738,0.8802,0.5696,0.9957,0.0003,0.4764,0.9944
1_142,0.1999,0.9973,0.9998,0.9971,0.5693,0.0155,0.9173,0.9991
2_137,0.7413,0.4544,0.9926,0.9966,0.9456,0.0024,0.6511,0.9933
1_218,1.5562,0.7695,0.9228,0.5971,0.2870,0.2738,0.0121,0.9950
2_287,0.5381,0.7939,0.0036,0.9965,0.6102,0.0047,0.9972,0.9978
1_431,1.0440,0.0015,0.7547,0.9868,0.3128,0.0063,0.0053,0.9986
3_76,0.7004,0.7767,0.6342,0.9950,0.7462,0.9999,0.5089,0.9928
2_250,0.7336,0.9972,0.9939,0.5082,0.9978,0.0054,0.9672,0.9911
2_15,0.3518,0.9977,0.9929,0.9998,0.0441,0.9959,0.9963,0.9976
1_17,1.4513,0.4166,0.3464,0.5257,0.6489,0.0484,0.0383,0.7113
1_124,0.3118,0.8774,0.9966,0.9926,0.2607,0.0156,0.1846,0.9931
1_386,0.2359,0.3972,0.9987,0.9956,0.4937,0.0007,0.0127,0.9776
1_593,1.9676,0.1922,0.4710,0.0117,0.6744,0.7506,0.0767,0.7324
1_183,0.2373,0.4708,0.4997,0.9982,0.6525,0.9973,0.0079,0.9965
1_601,1.7851,0.3132,0.0074,0.3887,0.6821,0.5493,0.4122,0.9145
1_504,0.3091,0.1720,0.9995,0.9992,0.4077,0.0014,0.0055,0.9995
1_595,1.1369,0.0040,0.0008,0.6591,0.6692,0.0002,0.0013,0.9951
3_5,0.1590,0.9923,0.2560,0.9886,0.9932,0.9946,0.9980,0.9991
2_288,0.7576,0.3542,0.6029,0.4322,0.7318,0.0622,0.0009,0.9982
3_35,0.7909,0.0018,0.9573,0.7924,0.9965,0.9871,0.0156,0.9979
1_414,0.3030,0.1851,0.7874,0.9915,0.9981,0.0001,0.0021,0.9962
2_239,0.5413,0.8395,0.7982,0.9996,0.9985,0.0078,0.9436,0.9941
1_466,0.0743,0.4661,0.0491,0.9988,0.9962,0.0063,0.0046,0.9994
1_599,1.3021,0.1718,0.5967,0.0046,0.9993,0.0075,0.0002,0.9977
2_337,1.1192,0.1951,0.9996,0.9947,0.0020,0.0130,0.1634,0.9946
3_67,0.3852,0.5575,0.9965,0.9954,0.4840,0.5906,0.7374,0.9988
1_490,2.0000,0.4217,0.0564,0.7250,0.5591,0.8237,0.3742,0.4390
1_53,0.2129,0.0163,0.6468,0.0076,0.9770,0.0000,0.0085,0.9983
1_139,0.0983,0.9996,0.9961,0.9922,0.6625,0.0019,0.2839,0.9956
1_383,0.3442,0.9927,0.9906,0.9790,0.9993,0.0010,0.0019,0.9965
1_113,0.0146,0.9909,0.9966,0.9904,0.0025,0.0063,0.0039,0.9961
1_322,0.2524,0.6096,0.2820,0.9986,0.9989,0.0021,0.0092,0.9994
1_92,0.8530,0.2620,0.5841,0.6357,0.5406,0.0154,0.0031,0.9956
1_420,0.8777,0.0028,0.0036,0.9990,0.8036,0.8047,0.0012,0.9931
1_30,0.0049,0.9913,0.9941,0.9943,0.9990,0.9860,0.9219,0.9985
2_162,0.4874,0.9865,0.8640,0.9792,0.9962,0.0018,0.0036,0.9975
1_34,0.0044,0.9843,0.9977,0.9955,0.9991,0.8160,0.9980,0.9990
1_304,0.3217,0.5874,0.0910,0.9955,0.2783,0.0031,0.0004,0.9985
1_512,1.2123,0.1859,0.0128,0.2123,0.3725,0.0011,0.0124,0.9973
3_44,1.1708,0.1180,0.0294,0.3089,0.0675,0.6009,0.0022,0.9855
2_320,0.6528,0.9744,0.9967,0.4293,0.9989,0.9997,0.4985,0.9872
1_398,0.2418,0.1551,0.8960,0.9989,0.0760,0.3118,0.0242,0.9973
1_230,0.0470,0.5987,0.9592,0.9983,0.9981,0.9959,0.0072,0.9942
1_476,0.2837,0.3648,0.0905,0.9994,0.9239,0.0141,0.4581,0.9988
2_310,0.1817,0.9946,0.7404,0.9049,0.9927,0.0063,0.0070,0.9901
2_152,0.6097,0.2122,0.9205,0.9976,0.1690,0.1523,0.3103,0.9814
2_12,0.9752,0.2768,0.5787,0.0046,0.0086,0.9959,0.9978,0.3751
1_387,0.4278,0.5537,0.9919,0.4665,0.9897,0.0210,0.0033,0.9908
2_145,0.1655,0.9983,0.9961,0.9902,0.3805,0.4092,0.9383,0.9979
1_152,1.0966,0.9290,0.2292,0.9969,0.0050,0.0017,0.0204,0.9937
1_127,0.1089,0.9888,0.9992,0.9986,0.7427,0.0012,0.1693,0.9976
2_262,0.2093,0.4061,0.9931,0.9955,0.5475,0.0115,0.0013,0.9986
1_401,0.0430,0.9998,0.9917,0.9061,0.9988,0.8326,0.0023,0.9976
1_38,0.4040,0.9973,0.9212,0.9971,0.6378,0.0238,0.0166,0.9809
1_373,0.2477,0.9999,0.9990,0.9420,0.4510,0.0064,0.0015,0.9995
1_468,0.3035,0.9898,0.9968,0.9900,0.9948,0.0045,0.0026,0.9968
2_242,0.3347,0.0492,0.9956,0.9995,0.3145,0.1882,0.2335,0.9971
2_0,0.1577,0.9999,0.9971,0.9430,0.3668,0.9912,0.2268,0.0002
1_44,0.0656,0.9990,0.9996,0.9985,0.9953,0.9950,0.1092,0.9998
1_399,0.5948,0.6119,0.6618,0.9900,0.3715,0.0002,0.0029,0.9929
3_25,0.1762,0.9917,0.9915,0.0001,0.7861,0.0000,0.0011,0.9931
2_306,0.4074,0.9129,0.4642,0.7348,0.9989,0.0224,0.9982,0.9949
2_263,0.1475,0.9843,0.9935,0.1691,0.9991,0.0165,0.0008,0.9993
2_85,0.2161,0.1413,0.8298,0.9954,0.0057,0.0002,0.0008,0.9938
1_438,0.1990,0.0015,0.0249,0.5765,0.9961,0.0007,0.0016,0.9909
1_31,0.7346,0.9943,0.4856,0.9969,0.6180,0.0039,0.9924,0.9937
1_180,1.1644,0.5742,0.2546,0.9976,0.9960,0.9928,0.1850,0.9914
1_608,1.9614,0.2628,0.5091,0.0010,0.2202,0.9857,0.0140,0.9975
1_510,0.6491,0.9996,0.8877,0.9860,0.9424,0.0092,0.9943,0.9914
1_451,0.0889,0.6095,0.3020,0.2758,0.9971,0.0009,0.9072,0.9986
1_296,0.4322,0.5650,0.0010,0.9996,0.9160,0.0168,0.0046,0.9929
1_446,0.1901,0.9995,0.9966,0.0030,0.7164,0.0097,0.0016,0.9990
1_193,0.0816,0.9920,0.9929,0.8443,0.9943,0.9918,0.0059,0.9967
1_13,0.0155,0.9955,0.9952,0.9984,0.1571,0.0063,0.9967,0.9886
1_122,0.0319,0.9972,0.9846,0.8110,0.9930,0.0075,0.0105,0.9952
2_3,0.0730,0.9969,0.9991,0.9956,0.8516,0.0006,0.9504,0.9957
1_436,0.8273,0.3193,0.9987,0.9927,0.3586,0.0026,0.0147,0.9976
3_20,0.1702,0.9948,0.9954,0.6372,0.9920,0.9968,0.0040,0.9988
2_60,0.3814,0.9967,0.7310,0.9990,0.0051,0.1307,0.9993,0.6172
4_1,0.1432,0.9986,0.9997,0.9991,0.8445,0.9994,0.9994,0.7223
2_291,0.7787,0.9983,0.9573,0.3847,0.9256,0.0088,0.0025,0.9956
1_488,0.9467,0.1423,0.8146,0.9957,0.7973,0.0025,0.0083,0.9968
1_325,0.3090,0.9999,0.0179,0.9989,0.8611,0.0139,0.0014,0.9945
2_22,0.3915,0.9994,0.9978,0.9976,0.2549,0.9960,0.5638,0.9973
2_122,0.7898,0.1228,0.9912,0.9914,0.0028,0.0205,0.0039,0.9988
1_393,0.1277,0.1576,0.0919,0.4413,0.9984,0.9985,0.0086,0.9984
1_205,0.0065,0.8531,0.9996,0.2503,0.9923,0.9940,0.0037,0.9989
2_147,0.0823,0.7911,0.9929,0.9949,0.2590,0.0041,0.0242,0.9996
1_277,1.5690,0.9938,0.9982,0.2467,0.9917,0.0034,0.3328,0.0036
1_503,0.5807,0.3509,0.3300,0.9976,0.6913,0.0037,0.0025,0.9978
2_280,0.4952,0.0006,0.0111,0.2713,0.0482,0.0105,0.0048,0.9970
2_164,0.9850,0.4295,0.8826,0.9946,0.5090,0.0022,0.0011,0.9995
2_231,0.0676,0.9701,0.9061,0.9930,0.0247,0.1162,0.1445,0.9993
1_463,2.0000,0.2581,0.4041,0.4914,0.6868,0.8846,0.7526,0.2889
2_325,0.9881,0.6543,0.2163,0.8876,0.9973,0.0032,0.0081,0.9985
1_432,0.3329,0.4471,0.9960,0.9985,0.9959,0.0067,0.0120,0.9947
2_124,0.0791,0.4923,0.8137,0.9985,0.9970,0.4079,0.0035,0.9969
1_376,0.6680,0.3003,0.9959,0.8309,0.9913,0.0006,0.3029,0.9992
1_141,0.4173,0.9963,0.9990,0.9994,0.2871,0.0234,0.6752,0.9977
1_536,1.2933,0.2680,0.0047,0.0020,0.9919,0.0081,0.0010,0.9982
2_39,0.1156,0.9983,0.9791,0.9997,0.9846,0.0087,0.1740,0.9900
1_344,0.2523,0.9980,0.0043,0.5294,0.7367,0.0020,0.0007,0.9861
1_378,0.3399,0.8293,0.8822,0.9942,0.0857,0.0057,0.0040,0.9862
2_138,0.6420,0.9989,0.9929,0.5344,0.6545,0.0111,0.5968,0.9934
1_54,0.0302,0.9986,0.9869,0.9966,0.9042,0.9971,0.9866,0.9926
1_321,0.6698,0.9932,0.9604,0.9992,0.5739,0.0115,0.0209,0.9896
1_337,0.2289,0.0803,0.0187,0.9949,0.2865,0.0006,0.0022,0.9946
1_59,0.0054,0.9954,0.9687,0.9992,0.9979,0.9903,0.9949,0.9997
1_375,1.8481,0.2121,0.3728,0.4205,0.2103,0.0355,0.0083,0.9994
1_46,0.0133,0.5591,0.9976,0.9948,0.9998,0.0044,0.6435,0.9975
1_220,0.5003,0.2130,0.9973,0.9947,0.9540,0.0330,0.0297,0.9954
1_232,0.0728,0.5574,0.9989,0.9954,0.9978,0.9946,0.0109,0.9938
2_240,0.4423,0.7379,0.9995,0.9959,0.9945,0.0007,0.9910,0.9945
3_27,1.0427,0.0035,0.5702,0.9925,0.5728,0.0157,0.1680,0.9996
1_603,0.3444,0.9998,0.4514,0.9693,0.8152,0.6710,0.0100,0.9981
1_169,0.0067,0.9981,0.9859,0.9972,0.9961,0.9992,0.3416,0.9948
1_75,0.0260,0.9061,0.9932,0.9996,0.0601,0.9907,0.0191,0.9966
1_260,0.1098,0.9938,0.9936,0.9964,0.7579,0.0010,0.0022,0.9966
2_120,0.1428,0.9443,0.9948,0.6565,0.9966,0.9586,0.9984,0.9971
1_516,0.3659,0.7065,0.9984,0.7759,0.9978,0.0072,0.5573,0.9973
1_472,0.9147,0.4517,0.2541,0.9987,0.7157,0.9997,0.0052,0.9890
1_196,0.0286,0.9864,0.9394,0.9999,0.1777,0.9952,0.0013,0.9954
2_89,0.0940,0.9967,0.9979,0.9445,0.0053,0.1259,0.0281,0.9949
1_267,1.4341,0.9368,0.0009,0.9842,0.4599,0.9965,0.8462,0.9997
1_442,0.9933,0.0079,0.2148,0.9979,0.9895,0.0039,0.0068,0.9982
2_309,0.5794,0.4659,0.6106,0.9997,0.0820,0.0003,0.9360,0.9945
3_41,0.6602,0.4687,0.9992,0.0199,0.3412,0.9971,0.3692,0.9971
2_179,0.1808,0.9962,0.7335,0.3243,0.9903,0.9957,0.0119,0.9906
2_54,0.9705,0.9980,0.9982,0.7555,0.9985,0.0055,0.0071,0.9982
1_359,0.7451,0.5492,0.0372,0.7453,0.8562,0.0105,0.0027,0.9938
3_17,0.5362,0.5335,0.3875,0.9653,0.9970,0.6681,0.5466,0.9997
2_100,0.2715,0.9951,0.9993,0.9990,0.9964,0.0012,0.0154,0.9922
1_251,0.3399,0.9939,0.9952,0.9995,0.4950,0.9982,0.1976,0.9954
1_590,0.1233,0.3748,0.7646,0.7859,0.9945,0.0004,0.0103,0.9974
1_87,0.0275,0.9910,0.9993,0.0373,0.9963,0.0043,0.6645,0.9993
2_166,0.8189,0.7298,0.7450,0.9971,0.8920,0.9978,0.1859,0.9985
2_235,0.9516,0.8341,0.4898,0.5435,0.9064,0.0023,0.0002,0.9947
1_478,0.0368,0.0010,0.0018,0.0064,0.9992,0.8601,0.0010,0.9872
2_201,0.8306,0.9407,0.9153,0.0036,0.1610,0.0005,0.0008,0.9983
2_327,0.1294,0.6874,0.9963,0.9872,0.9985,0.9999,0.0003,0.2111
1_10,0.0050,0.8233,0.9988,0.9908,0.2403,0.0147,0.0007,0.9994
1_98,0.1251,0.4492,0.9964,0.9648,0.9958,0.0018,0.0069,0.9993
2_254,0.6700,0.3034,0.9898,1.0000,0.0029,0.0053,0.0002,0.9998
3_54,0.1211,0.7435,0.9988,0.9982,0.9958,0.0133,0.8137,0.9982
1_275,0.1182,0.9999,0.9949,0.9981,0.9884,0.0074,0.1219,0.9914
1_253,1.4230,0.4805,0.3416,0.0004,0.9999,0.0002,0.0032,0.9975
2_59,0.6059,0.7711,0.9923,0.1100,0.3396,0.9804,0.9922,0.9988
2_308,0.1849,0.9985,0.9991,0.4742,0.9902,0.9362,0.0005,0.9973
1_1,0.0022,0.9874,0.9903,0.9965,0.9978,0.9996,0.2848,0.9934
1_284,1.4379,0.9976,0.8453,0.9114,0.0821,0.9946,0.9185,0.9954
2_208,0.1527,0.9525,0.6962,0.9818,0.9830,0.0095,0.0103,0.9823
2_150,0.4498,0.6362,0.9982,0.5344,0.8169,0.5415,0.0049,0.9905
1_342,0.8983,0.5595,0.9878,0.9390,0.1608,0.0139,0.0007,0.9993
1_511,0.4724,0.0000,0.2303,0.4545,0.4931,0.9916,0.0022,0.9976
2_48,0.3661,0.1561,0.0082,0.9975,0.7932,0.0029,0.0006,0.9947
1_178,0.0475,0.7722,0.7293,0.9999,1.0000,0.0009,0.0004,0.9997
1_208,0.1812,0.7270,0.5753,0.9910,0.2526,0.1033,0.0001,0.9958
1_27,0.1806,0.9859,0.9989,0.9990,0.9975,0.9993,0.9992,0.9953
2_62,1.0806,0.7366,0.0081,0.9961,0.0067,0.9950,0.0078,0.9918
1_320,1.2466,0.2419,0.4827,0.4822,0.9761,0.3639,0.0042,0.9936
2_196,0.9258,0.0026,0.7059,0.4570,0.4792,0.0011,0.0110,0.9968
1_16,0.0145,0.9969,0.9984,0.9923,0.0011,0.0016,0.9999,0.9687
1_470,0.7741,0.0100,0.7224,0.7941,0.5560,0.0101,0.0021,0.9993
2_69,0.2058,0.6921,0.9984,0.9199,0.3888,0.0003,0.0934,0.9953
2_92,0.6041,0.9994,0.9957,0.7106,0.9924,0.9844,0.7781,0.9984
1_195,0.0530,0.9961,0.9987,0.9925,0.9979,0.9836,0.0026,0.9994
2_90,0.2319,0.2487,0.4476,0.9999,0.9991,0.0030,0.0053,0.9964
1_483,0.1099,0.3988,0.9954,0.1328,0.9993,0.0046,0.0011,0.9993
2_158,0.4571,0.6764,0.7925,0.2997,0.9985,0.9992,0.9940,0.9962
2_282,1.0213,0.0008,0.0028,0.0044,0.9908,0.0040,0.0085,0.9991
1_319,1.0575,0.8699,0.9982,0.9964,0.0073,0.9968,0.0037,0.9979
1_93,0.4705,0.9999,0.9921,0.9976,0.1008,0.0013,0.0358,0.9954
3_36,0.0915,0.9504,0.9987,0.9306,0.5123,0.9578,0.9921,0.9996
1_272,0.7361,0.5055,0.5640,0.9944,0.6871,0.0114,0.0013,0.9969
3_3,0.2086,0.9008,0.9882,0.9995,0.8358,0.9834,0.1552,0.9906
2_91,0.7540,0.6668,0.3755,0.9974,0.6929,0.9867,0.0006,0.9944
1_78,0.0188,0.7496,0.9982,0.2666,0.9986,0.9825,0.0537,0.9983
2_135,0.9401,0.4095,0.9809,0.3709,0.0020,0.0007,0.4538,0.9918
2_203,1.1426,0.9975,0.9996,1.0000,0.1628,0.0561,0.5800,0.9983
2_160,0.4510,0.9965,0.8617,0.9977,0.0024,0.0022,0.9002,0.9994
2_129,0.2918,0.9871,0.9785,0.9904,0.5266,0.9972,0.2105,0.9857
1_89,0.3763,0.9982,0.9994,0.9217,0.0681,0.9926,0.8511,0.9963
2_279,0.0875,0.9954,0.9982,0.9968,0.1125,0.0150,0.9938,0.9984
2_295,0.1677,0.8355,0.9947,0.9987,0.5857,0.0052,0.8082,0.9959
1_302,0.7356,0.7495,0.9989,0.1079,0.7933,0.9925,0.0128,1.0000
2_112,0.4591,0.7964,0.9988,0.7112,0.5530,0.9999,0.0092,0.9941
1_584,1.9905,0.2383,0.4096,0.1001,0.4796,0.1965,0.0615,0.1464
3_1,0.2609,0.9919,0.0042,0.9992,0.6168,0.9972,0.9878,0.2861
1_135,0.9091,0.5600,0.6874,0.9964,0.6303,0.9973,0.0163,0.9964
1_222,0.0480,0.9988,0.9993,0.9896,0.5303,0.0018,0.0018,0.9921
4_8,0.1919,0.9878,0.9996,0.9975,0.3880,0.9982,0.2159,0.9888
1_285,0.2836,0.7289,0.9999,0.9997,0.7151,0.0084,0.0003,0.9965
1_439,0.7176,0.0016,0.0063,0.3861,0.2412,0.0020,0.0035,0.9925
3_69,0.8795,0.9976,0.4965,0.9949,0.3819,0.0060,0.0120,0.9993
2_157,0.1691,0.5120,1.0000,0.0123,0.9972,0.9992,0.0091,0.9971
2_109,0.1282,0.9955,0.9984,0.6356,0.9997,0.7741,0.6735,0.9971
1_396,1.0520,0.9916,0.9843,0.0032,0.9991,0.0038,0.0039,0.9981
1_574,1.2932,0.0021,0.0200,0.0298,0.9934,0.0057,0.0030,0.9978
1_496,0.2883,0.8961,0.9951,0.9907,0.8325,0.0059,0.0000,0.9906
1_133,0.1345,0.5938,0.9988,0.9958,0.2486,0.0016,0.0967,0.9969
2_294,0.1595,0.9926,0.9872,0.0076,0.8040,0.0089,0.1592,0.9974
1_198,0.0592,0.9966,0.9996,0.9969,0.9227,0.0113,0.4795,0.9949
1_145,0.6087,0.5628,0.2660,0.9986,0.6887,0.0176,0.0012,0.9884
1_524,1.0252,0.0043,0.9963,0.9893,0.0001,0.0096,0.0007,0.9990
2_277,0.3932,0.2237,0.9964,0.9986,0.4703,0.0044,0.0069,0.9975
